timestamp,sensor_id,roll,pitch,yaw
2025-07-14T18:51:59.477166,2,-1.37,1.46,2.15
2025-07-14T18:51:59.477194,4,-2.25,0.37,-35.09
2025-07-14T18:51:59.477226,6,2.11,-0.68,-4.0
2025-07-14T18:51:59.477253,2,-1.38,1.47,2.06
2025-07-14T18:51:59.477281,2,-1.39,1.46,2.05
2025-07-14T18:51:59.477308,2,-1.4,1.47,2.05
2025-07-14T18:51:59.480272,4,-2.37,0.41,-35.11
2025-07-14T18:51:59.483538,6,2.05,-0.66,-4.01
2025-07-14T18:51:59.953362,2,-1.39,1.49,1.97
2025-07-14T18:51:59.953448,4,-2.41,0.31,-35.11
2025-07-14T18:51:59.953486,6,1.9,-0.73,-4.06
2025-07-14T18:51:59.953519,2,-1.42,1.49,1.87
2025-07-14T18:51:59.953550,4,-3.26,0.48,-35.06
2025-07-14T18:51:59.953583,6,1.04,-0.86,-4.09
2025-07-14T18:51:59.956246,2,-1.55,1.43,0.9
2025-07-14T18:51:59.956293,4,-3.54,0.48,-35.04
2025-07-14T18:51:59.956323,2,-1.7,1.42,0.03
2025-07-14T18:51:59.959407,6,-0.05,-1.07,-4.26
2025-07-14T18:51:59.959447,6,-0.35,-1.13,-4.34
2025-07-14T18:51:59.962688,6,-0.64,-1.17,-4.39
2025-07-14T18:51:59.962725,2,-1.84,1.5,-1.13
2025-07-14T18:51:59.965932,6,-1.17,-1.27,-4.43
2025-07-14T18:51:59.965959,6,-1.44,-1.35,-4.45
2025-07-14T18:52:00.075989,2,-1.92,1.53,-1.62
2025-07-14T18:52:00.079145,6,-1.65,-1.37,-4.46
2025-07-14T18:52:00.082416,6,-2.88,-1.58,-4.56
2025-07-14T18:52:00.085683,2,-2.11,1.58,-2.99
2025-07-14T18:52:01.262230,2,-1.95,1.64,-1.99
2025-07-14T18:52:01.265414,2,-1.95,1.58,-2.0
2025-07-14T18:52:01.268641,4,-6.57,0.91,-34.97
2025-07-14T18:52:01.638830,6,-2.04,-1.49,-4.26
2025-07-14T18:52:01.638885,6,-2.08,-1.46,-4.25
2025-07-14T18:52:01.638916,2,-1.93,1.65,-2.0
2025-07-14T18:52:01.744327,4,-6.6,0.88,-35.16
2025-07-14T18:52:02.112232,6,-2.68,-1.66,-3.37
2025-07-14T18:52:02.112286,2,-1.96,1.64,-2.23
2025-07-14T18:52:02.112315,2,-1.97,1.8,-2.24
2025-07-14T18:52:02.112342,4,-7.06,2.26,-34.96
2025-07-14T18:52:02.138259,2,-2.1,1.84,-3.25
2025-07-14T18:52:02.138304,4,-8.13,4.48,-34.73
2025-07-14T18:52:02.938001,2,-2.0,1.77,-2.49
2025-07-14T18:52:02.940785,2,-1.97,1.77,-2.48
2025-07-14T18:52:02.944018,2,-1.97,1.69,-2.47
2025-07-14T18:52:02.947280,4,-7.05,7.16,-34.56
2025-07-14T18:52:02.947307,2,-1.97,1.69,-2.47
2025-07-14T18:52:02.950547,2,-1.97,1.7,-2.48
2025-07-14T18:52:02.953788,2,-1.97,1.73,-2.48
2025-07-14T18:52:03.790011,2,-1.96,1.78,-2.41
2025-07-14T18:52:03.790070,4,-6.88,7.24,-34.62
2025-07-14T18:52:03.790106,6,-3.38,-1.88,2.16
2025-07-14T18:52:03.790157,4,-6.91,7.26,-34.65
2025-07-14T18:52:03.790199,6,-3.47,-2.1,2.13
2025-07-14T18:52:03.790283,2,-2.02,2.01,-2.39
2025-07-14T18:52:03.790327,4,-6.93,7.12,-34.71
2025-07-14T18:52:03.790388,6,-3.48,-1.98,2.04
2025-07-14T18:52:03.790432,2,-2.0,1.94,-2.59
2025-07-14T18:52:03.790463,6,-3.65,-2.21,1.93
2025-07-14T18:52:03.790491,2,-1.98,1.96,-2.71
2025-07-14T18:52:03.790519,4,-7.28,7.02,-34.81
2025-07-14T18:52:03.790550,6,-3.72,-2.16,1.89
2025-07-14T18:52:03.792173,2,-1.96,1.98,-2.74
2025-07-14T18:52:03.792204,4,-7.34,7.14,-34.81
2025-07-14T18:52:05.480436,6,-2.45,-2.04,1.8
2025-07-14T18:52:05.480493,2,-1.86,1.93,-1.39
2025-07-14T18:52:05.480524,4,-5.93,6.89,-34.85
2025-07-14T18:52:05.480551,6,-2.34,-1.98,1.89
2025-07-14T18:52:05.480578,2,-1.76,1.65,-0.66
2025-07-14T18:52:05.480604,2,-1.73,1.72,-0.42
2025-07-14T18:52:05.480630,2,-1.77,1.75,-0.34
2025-07-14T18:52:05.585109,4,-4.95,7.02,-34.92
2025-07-14T18:52:05.585168,6,-1.39,-1.95,2.07
2025-07-14T18:52:05.585203,2,-1.61,1.77,-0.29
2025-07-14T18:52:06.430011,6,-4.13,-2.15,1.83
2025-07-14T18:52:06.430070,2,-2.02,1.74,-3.07
2025-07-14T18:52:06.794781,4,-3.03,7.42,-38.72
2025-07-14T18:52:06.794844,6,0.06,-1.72,2.27
2025-07-14T18:52:06.794880,2,-1.49,1.63,1.22
2025-07-14T18:52:06.794911,4,-2.86,7.51,-38.73
2025-07-14T18:52:06.794941,4,-2.71,7.48,-38.72
2025-07-14T18:52:06.794974,6,0.37,-1.67,2.31
2025-07-14T18:52:06.797893,6,0.5,-1.65,2.27
2025-07-14T18:52:06.801111,2,-1.45,1.64,1.59
2025-07-14T18:52:06.801142,6,0.72,-1.65,2.35
2025-07-14T18:52:07.510350,4,-1.77,7.46,-38.84
